ts,x,xc,beta,H,dH,B,W,dW,subjective_alertness,sleepness
0,0.4240714231095164,-0.7754715600910893,0,0.5810346602488544,0.02302007361270031,0.5245059395483559,0.20025300674655533,-0.3219501716182562,51.15147396258574,2.230422538475743
1,0.2576027364219219,-0.8992699530826163,0,0.6040547338615547,0.02175523440321128,0.5697162890965125,-0.12169716487170085,0.19565460590305603,70.90899502841178,2.5142842413764637
2,0.05779540275307027,-0.9800584619794609,0,0.625809968264766,0.020559891853584287,0.6181058410777817,0.07395744103135518,-0.11890263831407585,56.53948346558107,2.818107166111318
3,-0.16251828436110438,-1.0077836613605633,0,0.6463698601183503,0.01943022746602471,0.6680335474236855,-0.04494519728272067,0.07225915961852199,63.03936051987567,3.131587683004452
4,-0.38927231290661357,-0.9753524967823641,0,0.665800087584375,0.018362632550309066,0.7176900868948266,0.027313962335801314,-0.04391312272636867,56.97923138292293,3.443365627552764
5,-0.6095388858526525,-0.8792387183603678,0,0.684162720134684,0.01735369669589648,0.7654142536188426,-0.016599160390567358,0.02668675303949736,58.66796848655944,3.743010805508471
6,-0.8103054778268034,-0.7195720925938738,1,0.7015164168305805,-0.16702771829299537,0.8095301370248934,0.010087592648930003,0.0,27.885529411764708,4.0200006964021995
7,-0.9683489466638004,-0.5005946072578087,1,0.5344886985375852,-0.12725921393752027,0.6635696131278698,0.010087592648930003,0.0,27.885529411764708,3.103560029966789
8,-1.041751352118071,-0.23394422674336574,1,0.4072294846000649,-0.09695940109525354,0.5460949398374038,0.010087592648930003,0.0,27.885529411764708,2.3659731468479612
9,-1.0150722799127176,0.05584333692860888,1,0.3102700835048114,-0.07387382940590748,0.4455792184171766,0.010087592648930003,0.0,27.885529411764708,1.7348662402258794
10,-0.931303596418549,0.3394086064741739,1,0.2363962540989039,-0.05628482240450093,0.36053902350149647,0.010087592648930003,0.0,27.885529411764708,1.2009253442798877
11,-0.8081921434165052,0.5999445172227011,0,0.18011143169440297,0.04504882243437346,0.28784344441182314,0.010087592648930003,-0.016217994612427657,90.2189562498724,0.7444924460611193
12,-0.6392328211243923,0.8261559637384792,0,0.22516025412877644,0.042573612410506785,0.3103699891846579,-0.006130401963497654,0.009855951709803301,88.31340812394663,0.8859296042249831
13,-0.41642129680296036,1.0054541039452722,0,0.2677338665392832,0.04023440293740202,0.32324282540311783,0.0037255497463056474,-0.0059896298172116514,84.84812234479485,0.9667541332687564
14,-0.14275701346666358,1.1235670115932748,0,0.3079682694766852,0.03802372145732499,0.3269977793717915,-0.002264080070906004,0.003640000113996791,82.58474428139215,0.990330319662232
15,0.16487774543863098,1.1674300158302433,0,0.3459919909340102,0.035934505992636805,0.3240137874670407,0.0013759200430907871,-0.0022120901014321334,79.8310173662429,0.9715947639324032
16,0.4856181225035633,1.1286331201467057,0,0.381926496926647,0.03396008258644797,0.31719360119692197,-0.0008361700583413463,0.0013443248526388205,77.60216404298657,0.9287729386626411
17,0.8028424108912195,1.004168450614675,0,0.41588657951309493,0.03209414398279698,0.30886768614129534,0.0005081547942974742,-0.0008169691226647495,75.26875038424788,0.8764971113461659
18,1.0911181549257445,0.7951750679867996,0,0.4479807234958919,0.0303307294782477,0.3025346734442902,-0.00030881432836727535,0.0004964860584682883,73.20151310937466,0.8367340971993957
19,1.2279019647070366,0.5093117256652713,0,0.47831145297413963,0.028664205880541777,0.31463212107869165,0.000187671730101013,-0.00030172303874760934,71.16401549895971,0.9126902028383428
20,1.1205615896855863,0.1860429591945093,0,0.5069756588546814,0.027089249513479043,0.35760479894959274,-0.00011405130864659634,0.00018336223255079796,69.28942222125148,1.182502262257279
21,1.0751172949260295,-0.11148348986821643,0,0.5340649083681605,0.025600829210540636,0.3907517729545207,6.931092390420162e-05,-0.00011143235354373251,67.48686301196683,1.3906217875669087
22,0.9923369744919581,-0.39962904435797797,0,0.5596657375787011,0.02419419024292851,0.42738721887892306,-4.212142963953089e-05,6.771934025648052e-05,65.8021638173479,1.6206443414856972
23,0.8829994124170613,-0.6689804982458596,0,0.5838599278216295,0.022864839130679698,0.46615610614643527,2.5597910616949635e-05,-4.115419713335954e-05,64.19859431101457,1.864062109083356
24,0.7358554624937815,-0.9128011162024945,0,0.6067247669523093,0.021608529288334656,0.5086352338018881,-1.5556286516409907e-05,2.5010106939565767e-05,62.690082993877354,2.1307753204282487
25,0.5388391271359207,-1.1211955311419797,0,0.6283332962406439,0.020421247459305278,0.5565060405934257,9.45382042315586e-06,-1.5199068204430644e-05,61.26023329596382,2.431341205693148
26,0.2871765919074187,-1.2806356416975837,0,0.6487545436999492,0.019299200895607185,0.6104739039986903,-5.7452477812747835e-06,9.236732767322803e-06,59.91151353289083,2.7701886103524327
27,-0.008730847751568238,-1.3754801385158355,0,0.6680537445955564,0.018238805242002394,0.6692175666008405,3.49148498604802e-06,-5.613319913260482e-06,58.63533938470014,3.1390217706249497
28,-0.3282041185075516,-1.3916965923111977,0,0.6862925498375588,0.017236673085848416,0.7300421588346154,-2.121834927212462e-06,3.411310172367302e-06,57.43023265272018,3.5209204398960283
29,-0.6517390721220133,-1.3197892421810034,0,0.7035292229234072,0.016289603136076525,0.7904060412372717,1.2894752451548402e-06,-2.0731113266154985e-06,56.29076448640436,3.8999264556372957
30,-0.9626418925356335,-1.1551614965987973,1,0.7198188260594838,-0.17138543477606755,0.8481389903344837,-7.836360814606584e-07,-0.0,27.885529411764708,4.262413660624709
31,-1.1998835294582937,-0.8982764989083065,1,0.5484333912834163,-0.13057937887700388,0.7083778657602069,-7.836360814606584e-07,-0.0,27.885529411764708,3.384897091576381
32,-1.1772657134440792,-0.5686377740361829,1,0.4178540124064124,-0.09948905057295533,0.5747835320085082,-7.836360814606584e-07,-0.0,27.885529411764708,2.546099881299322
33,-1.1061982650625888,-0.242195709731841,1,0.3183649618334571,-0.07580118138891835,0.46582119056630017,-7.836360814606584e-07,-0.0,27.885529411764708,1.8619592784736554
34,-1.0339700738882627,0.06605860360029947,1,0.24256378044453875,-0.057753281058223506,0.38039199129384416,-7.836360814606584e-07,-0.0,27.885529411764708,1.3255759453367593
35,-0.9377002580448365,0.3550380938948664,1,0.18481049938631525,-0.04400249985388458,0.309805943783692,-7.836360814606584e-07,-0.0,27.885529411764708,0.8823881388385906
36,-0.8090225426658872,0.617395152547016,1,0.14080799953243067,-0.03352571417438825,0.24865070446979343,-7.836360814606584e-07,-0.0,27.885529411764708,0.4984134395398505
37,-0.635678435101121,0.8438336677248458,0,0.10728228535804242,0.04905042388142624,0.19201822075702185,-7.836360814606584e-07,1.2598650827341774e-06,95.69931674501203,0.1428357139334322
38,-0.4083975928457331,1.0221360281059768,0,0.15633270923946865,0.046355345646183044,0.21077210836580487,4.7622900127351906e-07,-7.656414811471368e-07,92.45728898868396,0.26058553285415176
39,-0.13036558035244356,1.1380492485017053,0,0.2026880548856517,0.0438083486326565,0.2200657867466324,-2.894124798736177e-07,4.652933760026008e-07,89.39352392437318,0.31893764465508534
40,0.18100161944577536,1.1785696033096968,0,0.2464964035183082,0.041401296509983074,0.22236888764618634,1.7588089612898309e-07,-2.8276671403373486e-07,86.49801902276788,0.33339809784408825
41,0.5047084880627473,1.1354728827321854,0,0.2878977000282913,0.03912649999844554,0.2206200585695271,-1.0688581790475178e-07,1.7184215097226973e-07,83.76165554971276,0.3224177447889982
42,0.8242467108178629,1.0059537383759176,0,0.3270242000267368,0.036976692306223254,0.2171521134747157,6.495633306751796e-08,-1.0443140364552726e-07,81.17561269794251,0.30064359771829663
43,1.1114070449222035,0.791317195054166,0,0.36400089233296007,0.034945005915771425,0.21585033324483033,-3.9475070578009305e-08,6.346474369454873e-08,78.73167774875736,0.2924701251273776
44,1.229607982435238,0.5001183672943992,0,0.3989458982487315,0.033024950645674095,0.23503915419011429,2.3989673116539422e-08,-3.856860629668717e-08,76.42201422193698,0.4129507549969471
45,1.1168548529348474,0.1763477704800827,0,0.4319708488944056,0.031210392917889802,0.28309409699819044,-1.4578933180147751e-08,2.3438799324996385e-08,74.23926179783147,0.7146727729558515
46,1.0725113317895658,-0.12028610949445617,0,0.4631812418122954,0.029495536164159595,0.3202154812847463,8.859866144848634e-09,-1.4244157789145714e-08,72.17643686733878,0.9477463824927514
47,0.9893896348016317,-0.4078314874404093,0,0.49267677797645504,0.02787490230898599,0.3607911396573975,-5.384291644297079e-09,8.656417434561221e-09,70.22695637149678,1.2025083030948074
48,0.8791852374982795,-0.6764998990343091,0,0.5205516802854411,0.026343314270030713,0.4033562881269204,3.272125790264142e-09,-5.2606523959230575e-09,68.3845887267481,1.4697616123378774
49,0.7307645939610578,-0.9194138898128824,0,0.5468949945554717,0.024895879420029025,0.44948407418046277,-1.9885266056589156e-09,3.1969881119918255e-09,66.64345096186943,1.759383613297004
50,0.5321682214862878,-1.1265615171277181,0,0.5717908739755008,0.023527973957390067,0.5008528500513786,1.20846150633291e-09,-1.942864158091495e-09,64.99797956725294,2.0819121568799672
51,0.27900157692008853,-1.2843157535369532,0,0.5953188479328908,0.02223522813555545,0.558127937729443,-7.34402651758585e-10,1.1807116587758603e-09,63.44291901692816,2.441524592629126
52,-0.01788510508935498,-1.3770243507355204,0,0.6175540760684463,0.021013512303931524,0.6199381605768572,4.4630900701727524e-10,-7.175385964907962e-10,61.973301154589464,2.8296117295235463
53,-0.3377018378784189,-1.3907607328566245,1,0.6385675883723778,-0.1520399019934233,0.6835832433615711,-2.71229589473521e-10,-0.0,27.885529411764708,3.22921938045052
54,-0.6610916521596218,-1.316179117521043,1,0.4865276863789545,-0.11583992532832249,0.5746512036118321,-2.71229589473521e-10,-0.0,27.885529411764708,2.5452690325136342
55,-0.9711675345692194,-1.1488175380770527,1,0.370687761050632,-0.08825899072634096,0.500144393408709,-2.71229589473521e-10,-0.0,27.885529411764708,2.0774639782874678
56,-1.2038448643428243,-0.8893587429660879,1,0.28242877032429103,-0.06724494531530739,0.44290129074118956,-2.71229589473521e-10,-0.0,27.885529411764708,1.7180523664569771
57,-1.1728633645437578,-0.5584530916369133,1,0.21518382500898364,-0.05123424404975801,0.3715265115026666,-2.71229589473521e-10,-0.0,27.885529411764708,1.2699123591069066
58,-1.105197057172008,-0.23320266142283624,1,0.16394958095922563,-0.03903561451410134,0.31127234868025433,-2.71229589473521e-10,-0.0,27.885529411764708,0.8915952384350396
59,-1.0316464881502387,0.07481570762206224,1,0.12491396644512429,-0.029741420582172447,0.2624324433155511,-2.71229589473521e-10,-0.0,27.885529411764708,0.5849446850796078
60,-0.9345116242676051,0.36316197617234774,1,0.09517254586295185,-0.022660129967369488,0.21974294537782363,-2.71229589473521e-10,-0.0,27.885529411764708,0.31691062425748306
61,-0.8046823396639168,0.6246305526880485,1,0.07251241589558236,-0.017264860927519606,0.17977657177278245,-2.71229589473521e-10,-0.0,27.885529411764708,0.0659742129340275
62,-0.6298400853346884,0.8498585717197806,0,0.055247554968062745,0.051909475001754794,0.13920523834317672,-2.71229589473521e-10,4.36060433237172e-10,99.13845456133166,-0.18876055269775938
63,-0.40093463746477853,1.0265479659473986,0,0.10715702996981755,0.049057306045614424,0.16060161714387253,1.64830843763651e-10,-2.65001356533201e-10,95.70754358474761,-0.054419354654045904
64,-0.12161539599310472,1.1404254286538018,0,0.15621433601543197,0.04636184966948176,0.17242566830131284,-1.0017051276954997e-10,1.6104584046551443e-10,92.46514424503602,0.019820179662341175
65,0.19041603705648075,1.1785860335407805,0,0.20257618568491373,0.04381449529203771,0.17719372794528485,6.087532769596446e-11,-9.787030176200074e-11,89.40089868800185,0.04975734103350993
66,0.5142257259667479,1.1329704496622008,0,0.24639068097695144,0.04140710544082685,0.17784439170558394,-3.699497406603628e-11,5.947745026693935e-11,86.50501828799206,0.053842656118666454
67,0.8334227940255305,1.0009148819156815,0,0.2877977864177783,0.03913198975726493,0.17670252797417507,2.2482476200903072e-11,-3.614546013006925e-11,83.76825218563076,0.046673249411623985
68,1.1184757773294676,0.7838348685258085,0,0.32692977617504326,0.03698188042994268,0.17783695505702524,-1.3662983929166177e-11,2.1966212104768774e-11,81.18185785323959,0.0537959637186991
69,1.2280995423936962,0.4907450878965922,0,0.3639116566049859,0.03494990897774803,0.2002059876039062,8.303228175602598e-12,-1.3349241439875559e-11,78.73757309584167,0.1942441516769846
70,1.1156449643133057,0.16730857699118096,0,0.39886156558273395,0.033029584308640995,0.2501460918397703,-5.0460132642729616e-12,8.112561518123733e-12,76.4275897009947,0.5078025110595412
71,1.0701397126508296,-0.12907947462422859,0,0.43189114989137495,0.03121477198399039,0.28924152619501936,3.0665482538507712e-12,-4.93014188721989e-12,74.24452846932974,0.7532705661097121
72,0.9864798982884702,-0.41608602930314365,0,0.46310592187536537,0.02949967462223267,0.3316081514335123,-1.8635936333691184e-12,2.9961312433587114e-12,72.18141565781961,1.0192774098202495
73,0.8753540194012888,-0.6840820828619691,0,0.49260559649759805,0.027878813379252854,0.37592090571140624,1.132537609989593e-12,-1.820800016060439e-12,70.23166069258978,1.2975033915978458
74,0.7256204721097383,-0.9260860022728867,0,0.5204844098768509,0.02634701044632688,0.4237592009446227,-6.88262406070846e-13,1.1065311994708136e-12,68.38903512136139,1.5978651469145984
75,0.5254164417705824,-1.131973720037056,0,0.5468314203231778,0.02489937250971551,0.4767934086351591,4.182687933999676e-13,-6.724578672025203e-13,66.64765271320044,1.9308504181519008
76,0.2707323589087751,-1.288020997941712,0,0.5717307928328933,0.0235312751190718,0.5356421693903536,-2.541890738025527e-13,4.0866410579188537e-13,65.00195065724981,2.300343456991892
77,-0.027135468685602793,-1.3785678452377517,0,0.5952620679519651,0.022238347914727192,0.598879225927756,1.5447503198933268e-13,-2.4835214146194963e-13,63.44667179111755,2.69738923820214
78,-0.347295311354092,-1.389796346462891,0,0.6175004158666924,0.021016460666665255,0.6637948808701928,-9.387710947261695e-14,1.5092782873411086e-13,61.976847807781766,3.104974415955473
79,-0.6705408447136281,-1.3125115115680084,0,0.6385168765333576,0.019861710080584745,0.7278999711336842,5.705071926149391e-14,-9.172141360368795e-14,60.587783383944426,3.5074703105606733
80,-0.9797533925025008,-1.1423861658128511,0,0.6583785866139424,0.01877040732890426,0.7889797138345258,-3.4670694342194046e-14,5.5740666145006503e-14,59.27504118121254,3.890970990141367
81,-1.2076223060832374,-0.8803342846828073,0,0.6771489939428467,0.017739066266876557,0.8381250473437423,2.1069971802812457e-14,-3.387455273764061e-14,58.03442767092905,4.199539231682841
82,-1.168413453774004,-0.5482152939175655,1,0.6948880602097233,-0.1654495381451722,0.850637573597798,-1.280458093482815e-14,-0.0,27.885529411764708,4.278101486687814
83,-1.1040526296183728,-0.2241701048198964,1,0.5294385220645511,-0.12605679096775027,0.6766087375926801,-1.280458093482815e-14,-0.0,27.885529411764708,3.185428631114697
84,-1.0292913622495508,0.08357067343185104,1,0.40338173109680087,-0.09604326930876211,0.5405862696846659,-1.280458093482815e-14,-0.0,27.885529411764708,2.331385922774214
85,-0.9312885356542233,0.3712743367440406,1,0.30733846178803875,-0.07317582423524732,0.43147922359074675,-1.280458093482815e-14,-0.0,27.885529411764708,1.6463367645123936
86,-0.8002965529891602,0.6318445836291366,1,0.23416263755279143,-0.05575300894114082,0.3408421680662465,-1.280458093482815e-14,-0.0,27.885529411764708,1.0772549240880722
87,-0.6239459871577843,0.8558495980791785,1,0.1784096286116506,-0.04247848300277395,0.26158162869978324,-1.280458093482815e-14,-0.0,27.885529411764708,0.5796026851150322
88,-0.39341684174224545,1.0309112001386167,1,0.13593114560887665,-0.03236455847830396,0.18837361061311797,-1.280458093482815e-14,-0.0,27.885529411764708,0.11995234204629801
89,-0.11282500134233575,1.1427387026770637,0,0.10356658713057268,0.049254583124693815,0.11860615980950603,-1.280458093482815e-14,2.0586142982038828e-14,95.94485074706489,-0.318095750704249
90,0.1998528279597762,1.1785293992538883,0,0.15282117025526648,0.04654828734861174,0.12618078828822832,7.781562047210677e-15,-1.2510549915129706e-14,92.68941253536318,-0.2705370177968618
91,0.5237516824019794,1.1303893980724815,0,0.19936945760387823,0.043990689142644056,0.12955335833969436,-4.728987867919029e-15,7.602874385721911e-15,89.61284455507575,-0.2493617009163449
92,0.8425890597610564,0.9957952414267071,0,0.2433601467465223,0.041573618310630646,0.13104302508037347,2.8738865178028824e-15,-4.620396330872801e-15,86.70531877150614,-0.2400085474461795
