day_ts,B,H,W,beta,dH,dW,sleepness,subjective_alertness,ts,x,xc,day
0,0.13920523834317672,0.055247554968062745,-2.7122958947352103e-10,0.0,0.0519094750017548,4.36060433237172e-10,-0.18876055269775935,99.13845456133166,62.0,-0.6298400853346884,0.8498585717197806,1
1,0.16060161714387253,0.10715702996981756,1.64830843763651e-10,0.0,0.04905730604561442,-2.65001356533201e-10,-0.054419354654045904,95.7075435847476,63.0,-0.4009346374647785,1.0265479659473986,1
2,0.17242566830131284,0.15621433601543194,-1.0017051276954996e-10,0.0,0.046361849669481765,1.6104584046551443e-10,0.019820179662341172,92.46514424503602,64.0,-0.12161539599310472,1.1404254286538018,1
3,0.17719372794528485,0.20257618568491373,6.087532769596446e-11,0.0,0.043814495292037715,-9.787030176200074e-11,0.049757341033509934,89.40089868800185,65.0,0.19041603705648075,1.1785860335407805,1
4,0.17784439170558394,0.24639068097695144,-3.699497406603628e-11,0.0,0.04140710544082685,5.947745026693935e-11,0.05384265611866645,86.50501828799206,66.0,0.5142257259667479,1.1329704496622008,1
5,0.17670252797417507,0.2877977864177783,2.2482476200903072e-11,0.0,0.03913198975726493,-3.614546013006925e-11,0.04667324941162399,83.76825218563077,67.0,0.8334227940255305,1.0009148819156817,1
6,0.17783695505702524,0.3269297761750433,-1.3662983929166175e-11,0.0,0.03698188042994268,2.1966212104768774e-11,0.0537959637186991,81.18185785323959,68.0,1.1184757773294676,0.7838348685258085,1
7,0.2002059876039062,0.3639116566049859,8.303228175602598e-12,0.0,0.03494990897774803,-1.3349241439875562e-11,0.1942441516769846,78.73757309584167,69.0,1.2280995423936962,0.4907450878965922,1
8,0.2501460918397703,0.398861565582734,-5.046013264272962e-12,0.0,0.033029584308640995,8.112561518123733e-12,0.5078025110595412,76.4275897009947,70.0,1.1156449643133055,0.16730857699118096,1
9,0.28924152619501936,0.43189114989137495,3.066548253850771e-12,0.0,0.031214771983990388,-4.93014188721989e-12,0.7532705661097121,74.24452846932974,71.0,1.0701397126508296,-0.1290794746242286,1
10,0.3316081514335123,0.4631059218753654,-1.8635936333691184e-12,0.0,0.029499674622232668,2.9961312433587114e-12,1.0192774098202495,72.1814156578196,72.0,0.9864798982884702,-0.4160860293031437,1
11,0.37592090571140624,0.4926055964975981,1.132537609989593e-12,0.0,0.027878813379252854,-1.8208000160604387e-12,1.2975033915978458,70.23166069258978,73.0,0.8753540194012888,-0.6840820828619691,1
12,0.4237592009446227,0.5204844098768509,-6.882624060708461e-13,0.0,0.026347010446326882,1.1065311994708138e-12,1.5978651469145984,68.38903512136139,74.0,0.7256204721097383,-0.9260860022728868,1
13,0.4767934086351591,0.5468314203231778,4.182687933999676e-13,0.0,0.02489937250971551,-6.724578672025203e-13,1.9308504181519008,66.64765271320043,75.0,0.5254164417705824,-1.1319737200370559,1
14,0.5356421693903536,0.5717307928328933,-2.541890738025527e-13,0.0,0.0235312751190718,4.0866410579188537e-13,2.300343456991892,65.00195065724981,76.0,0.2707323589087751,-1.2880209979417119,1
15,0.598879225927756,0.5952620679519651,1.5447503198933268e-13,0.0,0.022238347914727192,-2.483521414619497e-13,2.6973892382021405,63.446671791117545,77.0,-0.027135468685602796,-1.3785678452377517,1
16,0.6637948808701928,0.6175004158666924,-9.387710947261697e-14,0.0,0.02101646066666525,1.5092782873411083e-13,3.104974415955473,61.97684780778177,78.0,-0.347295311354092,-1.3897963464628909,1
17,0.7278999711336842,0.6385168765333576,5.705071926149391e-14,0.0,0.019861710080584745,-9.172141360368797e-14,3.5074703105606733,60.587783383944426,79.0,-0.6705408447136281,-1.3125115115680084,1
18,0.7889797138345258,0.6583785866139424,-3.467069434219405e-14,0.0,0.01877040732890426,5.574066614500649e-14,3.890970990141367,59.275041181212536,80.0,-0.9797533925025008,-1.1423861658128511,1
19,0.8381250473437423,0.6771489939428467,2.1069971802812457e-14,0.0,0.017739066266876557,-3.3874552737640614e-14,4.1995392316828415,58.03442767092905,81.0,-1.2076223060832374,-0.8803342846828073,1
20,0.8506375735977979,0.6948880602097233,-1.2804580934828149e-14,1.0,-0.1654495381451722,-0.0,4.278101486687814,27.88552941176471,82.0,-1.168413453774004,-0.5482152939175655,1
21,0.6766087375926801,0.5294385220645511,-1.2804580934828149e-14,1.0,-0.12605679096775027,-0.0,3.185428631114697,27.88552941176471,83.0,-1.1040526296183728,-0.2241701048198964,1
22,0.5405862696846659,0.4033817310968009,-1.2804580934828149e-14,1.0,-0.09604326930876213,-0.0,2.331385922774214,27.88552941176471,84.0,-1.0292913622495508,0.08357067343185104,1
23,0.4314792235907468,0.30733846178803875,-1.2804580934828149e-14,1.0,-0.07317582423524732,-0.0,1.6463367645123936,27.88552941176471,85.0,-0.9312885356542232,0.3712743367440406,1
24,0.3408421680662465,0.23416263755279146,-1.2804580934828149e-14,1.0,-0.05575300894114082,-0.0,1.0772549240880722,27.88552941176471,86.0,-0.8002965529891602,0.6318445836291366,1
25,0.26158162869978324,0.1784096286116506,-1.2804580934828149e-14,1.0,-0.04247848300277395,-0.0,0.5796026851150322,27.88552941176471,87.0,-0.6239459871577843,0.8558495980791785,1
26,0.188373610613118,0.13593114560887665,-1.2804580934828149e-14,1.0,-0.03236455847830396,-0.0,0.119952342046298,27.88552941176471,88.0,-0.3934168417422455,1.0309112001386167,1
0,0.11860615980950605,0.10356658713057268,-1.2804580934828149e-14,0.0,0.049254583124693815,2.058614298203883e-14,-0.31809575070424895,95.94485074706488,89.0,-0.11282500134233575,1.1427387026770637,2
1,0.12618078828822832,0.15282117025526648,7.781562047210675e-15,0.0,0.04654828734861174,-1.2510549915129706e-14,-0.2705370177968618,92.68941253536318,90.0,0.1998528279597762,1.1785293992538883,2
2,0.12955335833969436,0.19936945760387825,-4.72898786791903e-15,0.0,0.043990689142644056,7.60287438572191e-15,-0.2493617009163449,89.61284455507574,91.0,0.5237516824019794,1.1303893980724815,2
3,0.13104302508037347,0.2433601467465223,2.873886517802882e-15,0.0,0.04157361831063065,-4.620396330872801e-15,-0.2400085474461795,86.70531877150614,92.0,0.8425890597610564,0.9957952414267072,2
4,0.13491583235085344,0.2849337650571529,-1.7465098130699186e-15,0.0,0.0392893535682883,2.8078935901445644e-15,-0.2156923968790676,83.9575471518697,93.0,1.1254158492595612,0.7762743432967729,2
5,0.16075978966405433,0.32422311862544123,1.061383777074645e-15,0.0,0.03713059787772301,-1.7064047862936412e-15,-0.053426238666675285,81.36075199485019,94.0,1.2262815375948004,0.4813271196803732,2
6,0.21277215182657694,0.3613537165031642,-6.450210092189965e-16,0.0,0.03509045513718878,1.0370112688408305e-15,0.2731431827799833,78.90663789041444,95.0,1.1146403951731978,0.1583046982894218,2
7,0.25410901532702035,0.396444171640353,3.9199025962183388e-16,0.0,0.033162408151628964,-6.3020942061388105e-16,0.5326844732827669,76.58736522028815,96.0,1.0677806175043707,-0.13789116681659125,2
